Size_m2,Price_k$
132,507.59163821238883
136,531.4186892122066
101,432.44431746985305
218,781.0550654141098
50,228.26135398882155
132,515.1729094108329
151,606.1200014713921
244,897.1983263335192
117,479.0914493314928
129,534.5806239638814
181,628.005911885073
160,645.058937303516
179,646.9385460862294
287,1021.6817877279458
221,737.1162931958287
190,690.9046700496206
51,228.3542916604691
282,1025.500300812023
265,963.6241941939475
78,289.62507937011657
88,384.0168849692933
199,775.252415086399
217,822.0435556586676
219,759.9041586264309
204,832.2003547405244
80,334.4092395137165
84,360.18827604751
273,960.5511308788421
160,609.6566965759081
164,636.4006226287094
50,220.7730433659795
196,762.1648557806036
118,502.0103544398962
43,160.194287077977
271,1024.0036174637157
294,1090.8301985439448
82,336.85912015979324
121,426.37564049417153
293,1119.8954632559567
64,285.90322843813385
235,819.0024681350343
110,427.70596618778956
79,336.316701590976
31,173.69725905017594
83,336.6718561715588
135,532.7477241784615
289,1125.0665863668999
220,866.3961026641452
247,886.0144286446342
73,287.59308005311743
191,715.1638800056919
231,806.0279169748516
299,1056.257895061615
244,855.3491613716955
281,999.06840081525
219,858.1880848443977
242,871.3427844336056
237,848.6881472319321
266,1007.4851298152817
82,323.52086841712656
246,923.5591840751781
281,1011.6546225191
217,755.4433609298032
70,309.0315123249435
186,654.4569816772804
44,188.68520341267214
94,357.0114659486883
38,188.8603941764092
158,586.3216530667614
165,623.6679551460834
92,325.18328782688195
168,698.0104426731831
110,398.9960478680951
192,758.0414133265307
290,1069.4950114901878
260,964.2272210421396
70,305.6325875535899
57,193.09062234642332
164,652.9917600591725
230,839.6716659813911
297,1125.811958994099
62,262.46292103523314
77,308.2643532272859
91,329.7635166059145
245,884.5347190257799
128,510.6694128499219
201,714.2625710099187
243,840.7820135126791
64,248.273533430167
256,971.2001612986729
130,558.438732310791
160,589.6775299685573
286,1004.5351396052772
34,158.70612807687706
247,920.0156654322867
284,1061.336914052965
236,940.0392374402222
44,210.8054646594236
71,348.1638487613676
208,764.1122373380906
92,374.59697443567666
260,942.2135180261894
270,974.5998699764617
81,325.59782465398183
125,479.0803537397754
251,910.3807224150676
260,943.5224127790709
266,1013.9038876332421
172,715.393364708746
200,735.0478013188066
58,243.26813657297802
65,293.2382700189153
42,292.6110001421891
189,714.0249056302376
216,835.1789860069638
272,1048.3342451612339
115,462.82204394206065
95,410.286976286551
199,764.7351562100441
74,339.9753837848364
91,337.4679293054295
163,626.6284882600398
57,263.9365318528438
137,543.5117151818666
73,339.6105225590037
157,612.906704343222
260,925.651544397858
219,834.2394835078394
254,912.507640245614
150,554.0186585481056
145,544.944733563687
262,963.6574367025522
288,1011.6882379192431
227,878.0068032060503
166,596.3345226973155
194,776.1033186611656
254,905.2514478650143
263,1008.957611409426
201,752.647356272028
181,632.0072666216809
189,680.2111581919145
125,527.2941500495714
262,980.4594602215601
209,779.1380494899657
142,480.4971683655127
81,375.1869901584489
297,1145.6127169344654
142,597.6405109710674
130,486.5426435269153
142,558.4839840145236
110,449.76423101809985
216,760.1764212249676
142,552.4147751649864
31,190.63124572352527
159,629.4343470597713
249,888.165085617677
83,314.6215463530336
253,959.2178196827243
254,957.9855731214814
155,524.8752396144715
159,532.8022056267981
82,334.7040381594536
201,735.810414299385
247,905.5509633050888
189,699.1612822802056
227,874.0207063368927
276,1019.1070425332705
232,870.0290804248938
213,755.2306152047001
152,481.07713420610065
284,1077.7062534507454
127,558.7961556434166
227,834.2223339530806
269,998.9794362486587
173,665.2355494912366
126,541.2587974900466
230,881.6695288283146
153,600.3819269967762
216,807.667164708319
288,1059.8069876446727
177,626.3161521009881
281,1021.9953742141571
176,692.5860589838812
177,662.4889046205799
228,849.330516724972
157,564.2161756603278
68,301.36520703844155
158,559.1473003189284
296,1094.6964843461137
180,674.3832513095356
128,445.70144258364724
292,1104.084338561226
281,1028.584042096111
173,711.323341623575
141,587.8475634446739
89,335.1159647925973
31,134.74840064033262
283,1005.3406943664867
169,593.90609144721
66,268.3346847514701
